left_u,left_v,right_u,right_v
-119.84487331587557,41.3839157246237,139.09149233385318,56.9038491531426
-111.86672981829125,30.909366722824544,139.3672069553554,57.088270005589976
-113.22845416623657,30.48446725664377,138.9650018960902,55.42668526507999
-112.29385770632858,30.865383187413787,138.33834572927583,45.01722865415358
-106.31693957350619,19.169660392502795,139.8529929079569,44.07126756844145
-105.79247208105944,19.79310069859862,138.9943129800087,44.665055445363606
-106.93741194532932,19.044210777003187,138.68217872696096,44.80089478631914
-100.0850057750683,10.608645525660778,138.70044759251707,34.37577429291629
-100.80082018578314,9.976540304369266,138.37361470586282,32.74376261714042
-100.23600631838218,9.373982083970255,139.83282860252223,24.062448377751878
-99.33774165177132,11.130463621914876,139.96483919733228,13.76337833803235
-93.61885970772101,0.22283447586905591,139.77150494416682,12.810948777124768
-92.96641088185632,0.825541294198993,140.03618727259263,3.653848536934649
-83.02655616354548,-17.50100780449237,139.1054130243868,4.329591032259447
-77.96289945812858,-24.09963766458828,139.17359422998842,-5.521061055520022
-76.60715840263664,-25.684393763471824,139.46131163000533,-5.408610199320691
-73.5468095326031,-32.166177164890584,140.75259404560484,-4.371997755336711
-62.57739706659295,-46.009083792414046,139.22460141761766,-4.375772649264523
-62.409442170849644,-47.40864519543581,140.17446166690362,-5.474999766372927
-58.39876028458863,-52.816655881579585,140.91307784905578,-14.008874875854477
-59.03690403825074,-54.7476654610074,140.54711308114912,-14.305463130881392
-54.512848095822555,-61.131339413349444,141.42432011095124,-29.933204951750707
-51.285905949789566,-66.05304382446866,141.17644033414902,-36.58425927820809
-51.04161685457957,-66.44933922419166,140.1138908113781,-44.5163484042021
-51.46315927699794,-67.52163479292557,140.5320771066492,-44.42028484185953
-47.515025105154145,-72.73024120702891,141.23528957138322,-43.96356859489096
-42.666754592445095,-79.06481691488369,141.4453472321678,-44.309717723357636
-35.57968296107262,-89.67516815199741,141.2139229684655,-70.17276536231329
-36.14274241580702,-88.44590866243459,141.50879526886234,-70.99324702563713
-33.604072716916136,-95.25045705060853,142.06722139172967,-76.8735740718119
-26.790259925279628,-103.91114874232836,141.75116688801307,-101.68296001038327
-26.711575340429995,-103.64045353663793,141.1274829120865,-101.57082228088291
-26.736714741664564,-105.35414893659477,141.82898882518828,-107.69207763506289
-18.737315430955352,-117.60282429254346,141.36388593126392,-107.75507406863743
-15.882775639638929,-121.43804348199507,141.1677646836393,-111.37801101285737
-14.7902601315801,-121.62487947880904,141.11039395934432,-111.9228340831415
-13.496285606622386,-125.16992216644935,142.0966354833197,-143.32013743297082
-11.686679584360629,-125.25603087031034,143.1873398554721,-155.1848075218094
-3.0415233058784836,-140.2565383400463,142.28781466667704,-159.11974468083983
4.614358169347547,-154.40413590966375,142.5351667385793,-165.49376894326264
20.037202908641977,-177.88422199896453,143.34099859350368,-173.43827442832298
24.36656488581584,-184.8338432217111,142.75900345127624,-178.72997821370146
24.223028893870847,-184.60669419998484,144.01674763308017,-177.4715066718461
26.30539439724285,-187.24591819369968,144.24624786834576,-184.05503994750498
25.744396750441734,-187.76376845799962,143.29467605011538,-185.65185974109068
30.04891266380088,-192.8772364072305,143.0686739747689,-195.6264433138623
31.962096170234346,-194.95177788568748,143.0340020725581,-195.3992844374909
33.24993752953268,-197.5127357507689,142.78177188764184,-200.14191884766188
34.43446914265662,-200.41819734137596,144.27938271157223,-202.4826720604509
40.84014665205002,-211.14095631926088,143.36147354432734,-203.93159732590001
